,location,Code,Year,"GDP per capita, PPP (constant 2017 international $)"
0,World,OWID_WRL,2019,16915.2878461495
1,World,OWID_WRL,2020,16194.0403098695
2,France,FRA,2019,45834.1669122703
3,France,FRA,2020,42025.6173730617
4,Italy,ITA,2019,42662.5223699096
5,Italy,ITA,2020,38992.1483807498
6,Spain,ESP,2019,40805.9169678996
7,Spain,ESP,2020,36215.4475907307
8,Germany,DEU,2019,53639.26072156
9,Germany,DEU,2020,50922.3580234484
10,United Kingdom,GBR,2019,46406.4617483484
11,United Kingdom,GBR,2020,41627.129269425
12,Russia,RUS,2019,27210.5459977867
13,Russia,RUS,2020,26456.3879381321
14,Norway,NOR,2019,64452.812617024
15,Norway,NOR,2020,63585.9035142969
16,Belgium,BEL,2019,51742.7263830791
17,Belgium,BEL,2020,48210.0331113444
18,United States,USA,2019,62630.8732765742
19,United States,USA,2020,60235.7284916969
20,Canada,CAN,2019,49006.7431073981
21,Canada,CAN,2020,45856.6256264804
22,Mexico,MEX,2019,19701.337669842
23,Mexico,MEX,2020,17887.7507356971
24,Brazil,BRA,2019,14763.8716968734
25,Brazil,BRA,2020,14063.9825053838
26,Zimbabwe,ZWE,2019,3027.65603782166
27,Zimbabwe,ZWE,2020,2744.69075807126
28,South Africa,ZAF,2019,12481.8135074777
29,South Africa,ZAF,2020,11466.189671582
30,Morocco,MAR,2019,7537.48527234118
31,Morocco,MAR,2020,6916.34641150088
32,Algeria,DZA,2019,11510.5570882585
33,Algeria,DZA,2020,10681.6792969827
34,Tunisia,TUN,2019,10755.5726608392
35,Tunisia,TUN,2020,9727.50425926541
36,Hong Kong,HKG,2019,59586.2040065092
37,Hong Kong,HKG,2020,56153.9714986058
38,India,IND,2019,6713.93221110733
39,India,IND,2020,6118.35733018965
40,Thailand,THA,2019,18453.4698218155
41,Thailand,THA,2020,17286.866606887
42,Sri Lanka,LKA,2019,13070.1256448919
43,Sri Lanka,LKA,2020,12536.9417561704
44,Japan,JPN,2019,41380.0935773113
45,South Korea,KOR,2019,42719.0002563009
46,South Korea,KOR,2020,42251.4450571656
47,Vietnam,VNM,2019,8041.17838409676
48,Vietnam,VNM,2020,8200.33186703573
49,Indonesia,IDN,2019,11811.9755589147
50,Indonesia,IDN,2020,11444.9606828103
51,Australia,AUS,2019,49455.5385080697
52,Australia,AUS,2020,48697.8370282475
53,Qatar,QAT,2019,90043.7990029688
54,Qatar,QAT,2020,85266.2105859195
55,Bahrain,BHR,2019,45060.4237448845
56,Bahrain,BHR,2020,40933.3526644217
57,Israel,ISR,2019,40007.3191584114
58,Israel,ISR,2020,38341.3075704083
59,Turkey,TUR,2019,28199.0515906708
60,Turkey,TUR,2020,28384.9877846263
61,High income,,2019,50296.32710103
62,High income,,2020,47785.7042413795
63,Upper middle income,,2019,17440.3394443599
64,Upper middle income,,2020,17145.9550424116
65,Lower middle income,,2019,7106.96748496422
66,Lower middle income,,2020,6722.80993169008
